date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link
02.03.2021,2021,germany,dfb-pokal,B. Monchengladbach,Dortmund,3.55,3.99,2.01,1.49,2.65,1.45,2.74,https://www.oddsportal.com/soccer/germany/dfb-pokal/b-monchengladbach-dortmund-jJfhx2dg
02.03.2021,2021,iran,division-1,Arman Gohar,Esteghlal Molasani,2.16,3.07,3.33,2.32,1.58,1.9,1.8,https://www.oddsportal.com/soccer/iran/division-1/arman-gohar-esteghlal-molasani-CS54RAm1
02.03.2021,2021,france,ligue-2,Le Havre,Grenoble,2.75,3.14,2.74,2.45,1.58,2.01,1.78,https://www.oddsportal.com/soccer/france/ligue-2/le-havre-grenoble-fPOPTxkH
02.03.2021,2021,england,league-one,Hull,Rochdale,1.4,4.89,8.32,1.82,2.05,2.09,1.71,https://www.oddsportal.com/soccer/england/league-one/hull-city-rochdale-4GVHOS47
02.03.2021,2021,england,league-one,Gillingham,MK Dons,2.86,3.4,2.53,2.11,1.78,1.83,1.94,https://www.oddsportal.com/soccer/england/league-one/gillingham-milton-keynes-dons-AgWDP8k1
02.03.2021,2021,france,ligue-2,Valenciennes,Toulouse,3.97,3.64,1.92,1.91,1.97,1.77,2.03,https://www.oddsportal.com/soccer/france/ligue-2/valenciennes-toulouse-KCcfEckU
02.03.2021,2021,tunisia,ligue-professionnelle-1,Slimane,Ben Guerdane,2.57,2.83,2.92,2.70,1.45,2.12,1.65,https://www.oddsportal.com/soccer/tunisia/ligue-professionnelle-1/slimane-ben-guerdane-AikF0xQb
02.03.2021,2021,oman,sultan-cup,Dhofar,Al Seeb,2.35,3.12,2.95,2.28,1.60,1.92,1.81,https://www.oddsportal.com/soccer/oman/sultan-cup/dhofar-al-seeb-KICDzTqm
02.03.2021,2021,iran,division-1,Malavan,Pars Janoobi Jam,2.63,2.82,2.83,2.73,1.41,2.17,1.62,https://www.oddsportal.com/soccer/iran/division-1/malavan-pars-janoobi-jam-2HYdX0yK
02.03.2021,2021,england,league-two,Stevenage,Forest Green,3.15,3.19,2.38,2.21,1.68,1.88,1.87,https://www.oddsportal.com/soccer/england/league-two/stevenage-forest-green-vm7a1oSG
02.03.2021,2021,switzerland,challenge-league,Xamax,Chiasso,2.08,3.71,3.27,1.77,2.08,1.65,2.18,https://www.oddsportal.com/soccer/switzerland/challenge-league/xamax-chiasso-jirua3oH
02.03.2021,2021,england,league-one,Blackpool,Crewe,2.29,3.38,3.25,2.13,1.77,1.85,1.92,https://www.oddsportal.com/soccer/england/league-one/blackpool-crewe-ERx5RUKl
02.03.2021,2021,england,professional-development-league,Barnsley U23,Coventry U23,1.92,3.77,3.27,1.48,2.48,1.44,2.51,https://www.oddsportal.com/soccer/england/professional-development-league/barnsley-coventry-bmWgjbi8
02.03.2021,2021,united-arab-emirates,arabian-gulf-cup,Ittihad Kalba,Al Nasr,5.14,4.21,1.52,1.57,2.33,1.67,2.13,https://www.oddsportal.com/soccer/united-arab-emirates/arabian-gulf-cup/ittihad-kalba-al-nasr-6BIZrJdl
02.03.2021,2021,italy,serie-c-group-a,Pro Sesto,Pro Patria,2.85,3.03,2.51,2.20,1.66,1.85,1.88,https://www.oddsportal.com/soccer/italy/serie-c-group-a/pro-sesto-pro-patria-lp90vc8E
